DETR Car Bounding Boxes
[699, 792, 759, 863]
[1004, 646, 1034, 671]
[944, 663, 989, 693]
[753, 579, 777, 598]
[1329, 844, 1414, 898]
[1187, 813, 1268, 866]
[1467, 958, 1577, 1027]
[1079, 705, 1127, 741]
[1061, 738, 1116, 782]
[849, 698, 889, 730]
[909, 609, 938, 630]
[872, 969, 985, 1072]
[677, 658, 719, 692]
[932, 630, 965, 656]
[1086, 723, 1141, 767]
[1054, 973, 1202, 1079]
[1063, 732, 1122, 783]
[1024, 669, 1067, 706]

DETR Bus Bounding Boxes

DETR Truck Bounding Boxes
[699, 504, 725, 527]
[696, 527, 722, 556]
[686, 504, 711, 529]
[703, 793, 760, 863]
[1084, 704, 1131, 741]
[1167, 695, 1209, 735]
[871, 966, 988, 1072]
[1124, 667, 1193, 728]
[681, 613, 724, 697]
[703, 537, 729, 562]
[681, 610, 726, 699]
[686, 512, 711, 538]
[1049, 973, 1200, 1079]
[1062, 730, 1126, 785]
[1160, 691, 1205, 734]
[703, 551, 729, 578]
[1018, 658, 1056, 691]
